fromdate,eventtype,alertlevel,country
"Thu, 01 Oct 2020 22:56:19 GMT",earthquake,Green,"Near Coast Of Chiapas, Mexico"
"Thu, 01 Oct 2020 18:15:36 GMT",earthquake,Green,Indonesia
"Thu, 01 Oct 2020 14:57:32 GMT",earthquake,Green,Russian Federation
"Thu, 01 Oct 2020 12:17:10 GMT",earthquake,Green,Tonga
"Thu, 01 Oct 2020 11:46:30 GMT",earthquake,Green,Tonga
"Thu, 01 Oct 2020 11:05:38 GMT",earthquake,Green,Greece
"Thu, 01 Oct 2020 10:34:48 GMT",earthquake,Green,Papua New Guinea
"Thu, 01 Oct 2020 10:25:08 GMT",earthquake,Green,United States
"Thu, 01 Oct 2020 05:30:19 GMT",earthquake,Green,Argentina
"Thu, 01 Oct 2020 03:36:34 GMT",earthquake,Green,United States
"Thu, 01 Oct 2020 01:13:37 GMT",earthquake,Green,Tonga
"Thu, 01 Oct 2020 00:31:27 GMT",earthquake,Green,United States
"Thu, 01 Oct 2020 00:24:40 GMT",earthquake,Green,El Salvador
"Mon, 28 Sep 2020 00:00:00 GMT",Volcanic eruption,Green,Italy
"Wed, 30 Sep 2020 22:10:46 GMT",earthquake,Green,Philippines
"Wed, 30 Sep 2020 22:02:30 GMT",earthquake,Green,Spain
"Wed, 30 Sep 2020 21:13:10 GMT",earthquake,Green,Philippines
"Wed, 30 Sep 2020 21:08:08 GMT",earthquake,Green,Philippines
"Wed, 30 Sep 2020 20:39:18 GMT",earthquake,Green,Indonesia
"Wed, 30 Sep 2020 19:35:23 GMT",earthquake,Green,Vanuatu
"Wed, 30 Sep 2020 16:58:42 GMT",earthquake,Green,Antarctica
"Wed, 30 Sep 2020 05:23:12 GMT",earthquake,Green,Indonesia
"Wed, 30 Sep 2020 04:37:20 GMT",earthquake,Green,China
"Wed, 30 Sep 2020 01:16:04 GMT",earthquake,Green,Indonesia
"Wed, 30 Sep 2020 00:49:39 GMT",earthquake,Green,Philippines
"Tue, 29 Sep 2020 19:01:18 GMT",earthquake,Green,Samoa
"Sat, 26 Sep 2020 18:00:00 GMT",cyclone,Green,
"Tue, 29 Sep 2020 17:55:43 GMT",earthquake,Green,Indonesia
